Title,SJR,SJR Best Quartile,H index,Total Docs. (2024),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,%Female,APC (USD),Aging,Cancer Research,Cardiology and Cardiovascular Medicine,Community and Home Care,Complementary and Alternative Medicine,Critical Care and Intensive Care Medicine,Endocrinology,"Endocrinology, Diabetes and Metabolism",Gastroenterology,Geriatrics and Gerontology,Gerontology,Health Policy,Hematology,Hepatology,Immunology,Immunology and Allergy,Immunology and Microbiology,Infectious Diseases,Internal Medicine,Medicine,Nephrology,Oncology,Parasitology,Pulmonary and Respiratory Medicine,Reproductive Medicine,Respiratory Care,Rheumatology
Ca-A Cancer Journal for Clinicians,145.004,Q1,223,43,122,2704,40834,81,168.71,62.88,48.21,7653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MMWR Recommendations and Reports,41.754,Q1,155,6,15,1652,1308,15,75.11,275.33,75.93,6205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Drug Discovery,30.506,Q1,412,247,718,8808,14603,136,16.64,35.66,26.67,5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Clinical Oncology,28.675,Q1,238,130,382,9101,13125,180,33.23,70.01,34.19,5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nature Reviews Cancer,24.378,Q1,527,125,320,10255,10928,165,28.49,82.04,48.48,5874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
New England Journal of Medicine,19.076,Q1,1231,1282,4249,13922,81934,1749,18.37,10.86,38.64,5891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of Oncology,19.072,Q1,311,167,546,4859,11555,301,22.61,29.1,40.17,5288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Cancer Cell,19.027,Q1,416,190,575,11020,14069,381,24.69,58,42.93,5446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nature Medicine,18.333,Q1,653,680,1495,20216,35907,830,22.55,29.73,41.98,5844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Disease Primers,17.995,Q1,210,63,186,9234,7905,125,33.84,146.57,42.29,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Immunology,17.458,Q1,486,141,476,11709,11866,258,23.43,83.04,34.17,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Methods Primers,15.026,Q1,67,49,215,8174,8415,129,34.64,166.82,30.92,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Microbiology,13.861,Q1,393,131,498,10417,15656,315,29.68,79.52,41.43,5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
The Lancet Diabetes and Endocrinology,12.19,Q1,189,193,553,4445,6796,198,10.82,23.03,43.43,5072,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Annual Review of Pathology: Mechanisms of Disease,12.185,Q1,156,22,65,3570,2434,65,33.18,162.27,34.33,5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Physiological Reviews,12.167,Q1,401,39,136,14416,4848,127,26.37,369.64,39.6,5320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immunity,12.163,Q1,475,233,696,17127,13011,564,17.48,73.51,41.16,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
The Lancet,12.113,Q1,936,1518,3963,25187,55580,1431,12.12,16.59,43.43,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Cancer,11.941,Q1,81,189,502,8618,7190,329,14.28,45.6,41.62,5087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MMWR supplements,11.672,Q1,30,22,18,0,631,18,35.06,0,76.47,5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Gastroenterology and Hepatology,11.398,Q1,123,242,682,5228,8156,245,13.01,21.6,34.12,4824,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lancet Oncology,11.319,Q1,432,475,1353,7356,15163,636,9.61,15.49,40.46,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Journal of Clinical Oncology,11.205,Q1,646,622,1877,17957,26575,1306,13.85,28.87,41.59,5125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kidney International Supplements,10.788,Q1,54,12,28,598,853,23,81.56,49.83,40.33,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nature Reviews Cardiology,10.662,Q1,201,148,471,11191,8426,237,15.78,75.61,24.78,4844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Hepatology,10.575,Q1,319,444,1341,12247,18858,705,15.48,27.58,43.09,4936,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Immunology,10.39,Q1,452,320,828,11951,10567,537,12.14,37.35,43.02,5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Hematology and Oncology,10.192,Q1,171,125,482,14265,12770,334,26.08,114.12,44.75,4696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
